 8161   # of boundary nodes
 59290 1 1 1 1
 59370 2 2 2 2
 59471 2 2 2 2
 59529 2 2 2 2
 59532 2 2 2 2
 59533 2 2 2 2
 59571 2 2 2 2
 59627 2 2 2 2
 59628 2 2 2 2
 59630 2 2 2 2
 59631 2 2 2 2
 59641 2 2 2 2
 59657 2 2 2 2
 59658 2 2 2 2
 59663 2 2 2 2
 59664 2 2 2 2
 59706 2 2 2 2
 59710 2 2 2 2
 59722 2 2 2 2
 59723 2 2 2 2
 59724 2 2 2 2
 59726 2 2 2 2
 59727 2 2 2 2
 59728 2 2 2 2
 59759 1 1 1 1
 59792 1 1 1 1
 59793 1 1 1 1
 59794 1 1 1 1
 60315 1 1 1 1
 60324 1 1 1 1
 60325 1 1 1 1
 60395 1 1 1 1
 60396 1 1 1 1
 60397 1 1 1 1
 60398 1 1 1 1
 60403 1 1 1 1
 60407 1 1 1 1
 60408 1 1 1 1
 60410 1 1 1 1
 60444 1 1 1 1
 60445 1 1 1 1
 60446 1 1 1 1
 60447 1 1 1 1
 60802 2 2 2 2
 60803 2 2 2 2
 60844 1 1 1 1
 61243 1 1 1 1
 61244 1 1 1 1
 61248 1 1 1 1
 61249 1 1 1 1
 61288 1 1 1 1
 61290 1 1 1 1
 61291 1 1 1 1
 61420 1 1 1 1
 61421 1 1 1 1
 61424 1 1 1 1
 61425 1 1 1 1
 61426 1 1 1 1
 61450 1 1 1 1
 61451 1 1 1 1
 61453 1 1 1 1
 61454 1 1 1 1
 61456 1 1 1 1
 61457 1 1 1 1
 61467 1 1 1 1
 61475 1 1 1 1
 61476 1 1 1 1
 61479 1 1 1 1
 61480 1 1 1 1
 61481 1 1 1 1
 61542 2 2 2 2
 61545 2 2 2 2
 61546 2 2 2 2
 61554 2 2 2 2
 61559 2 2 2 2
 61561 2 2 2 2
 61582 2 2 2 2
 61585 2 2 2 2
 61586 2 2 2 2
 61595 2 2 2 2
 61599 2 2 2 2
 61601 2 2 2 2
 61602 2 2 2 2
 61677 2 2 2 2
 61678 2 2 2 2
 61698 2 2 2 2
 61707 2 2 2 2
 61776 2 2 2 2
 61781 2 2 2 2
 61880 2 2 2 2
 61888 2 2 2 2
 61889 2 2 2 2
 61912 2 2 2 2
 61915 2 2 2 2
 61916 2 2 2 2
 61923 2 2 2 2
 61927 2 2 2 2
 61929 2 2 2 2
 61930 2 2 2 2
 62110 2 2 2 2
 62111 2 2 2 2
 62115 2 2 2 2
 62147 2 2 2 2
 62150 2 2 2 2
 62151 2 2 2 2
 62152 2 2 2 2
 62153 2 2 2 2
 62234 1 1 1 1
 62505 1 1 1 1
 62510 1 1 1 1
 62512 1 1 1 1
 62513 1 1 1 1
 62515 1 1 1 1
 62524 1 1 1 1
 62526 1 1 1 1
 62527 1 1 1 1
 62736 1 1 1 1
 62841 1 1 1 1
 62842 1 1 1 1
 62856 1 1 1 1
 62857 1 1 1 1
 62882 1 1 1 1
 62883 1 1 1 1
 62885 1 1 1 1
 62900 1 1 1 1
 62902 1 1 1 1
 62904 1 1 1 1
 62905 1 1 1 1
 62907 1 1 1 1
 63001 2 2 2 2
 63098 2 2 2 2
 63099 2 2 2 2
 63150 2 2 2 2
 63151 2 2 2 2
 63186 2 2 2 2
 63188 2 2 2 2
 63247 2 2 2 2
 63249 2 2 2 2
 63266 2 2 2 2
 63283 2 2 2 2
 63312 2 2 2 2
 63315 2 2 2 2
 63330 2 2 2 2
 63331 2 2 2 2
 63332 2 2 2 2
 63333 2 2 2 2
 63334 2 2 2 2
 63335 2 2 2 2
 63360 1 1 1 1
 63376 1 1 1 1
 63377 1 1 1 1
 63378 1 1 1 1
 63851 1 1 1 1
 63885 1 1 1 1
 63887 1 1 1 1
 63888 1 1 1 1
 63891 1 1 1 1
 63894 1 1 1 1
 63895 1 1 1 1
 63920 1 1 1 1
 63924 1 1 1 1
 63925 1 1 1 1
 64250 2 2 2 2
 64276 2 2 2 2
 64291 2 2 2 2
 64292 2 2 2 2
 64331 1 1 1 1
 64801 1 1 1 1
 64806 1 1 1 1
 64807 1 1 1 1
 64831 1 1 1 1
 64833 1 1 1 1
 64834 1 1 1 1
 64917 1 1 1 1
 64918 1 1 1 1
 64921 1 1 1 1
 64922 1 1 1 1
 64934 1 1 1 1
 64935 1 1 1 1
 64939 1 1 1 1
 64940 1 1 1 1
 64949 1 1 1 1
 64950 1 1 1 1
 64952 1 1 1 1
 64953 1 1 1 1
 65029 2 2 2 2
 65033 2 2 2 2
 65037 2 2 2 2
 65039 2 2 2 2
 65066 2 2 2 2
 65069 2 2 2 2
 65070 2 2 2 2
 65078 2 2 2 2
 65080 2 2 2 2
 65081 2 2 2 2
 65173 2 2 2 2
 65174 2 2 2 2
 65190 2 2 2 2
 65193 2 2 2 2
 65196 2 2 2 2
 65268 2 2 2 2
 65269 2 2 2 2
 65275 2 2 2 2
 65374 2 2 2 2
 65380 2 2 2 2
 65398 2 2 2 2
 65400 2 2 2 2
 65405 2 2 2 2
 65408 2 2 2 2
 65409 2 2 2 2
 65579 2 2 2 2
 65585 2 2 2 2
 65586 2 2 2 2
 65589 2 2 2 2
 65621 2 2 2 2
 65624 2 2 2 2
 65625 2 2 2 2
 65691 1 1 1 1
 65712 1 1 1 1
 65985 1 1 1 1
 66006 1 1 1 1
 66014 1 1 1 1
 66015 1 1 1 1
 66016 1 1 1 1
 66017 1 1 1 1
 66019 1 1 1 1
 66026 1 1 1 1
 66034 1 1 1 1
 66035 1 1 1 1
 66036 1 1 1 1
 66037 1 1 1 1
 66165 1 1 1 1
 66242 1 1 1 1
 66243 1 1 1 1
 66246 1 1 1 1
 66251 1 1 1 1
 66269 1 1 1 1
 66270 1 1 1 1
 66277 1 1 1 1
 66278 1 1 1 1
 66279 1 1 1 1
 66280 1 1 1 1
 66282 1 1 1 1
 66370 2 2 2 2
 66371 2 2 2 2
 66375 2 2 2 2
 66460 2 2 2 2
 66461 2 2 2 2
 66509 2 2 2 2
 66510 2 2 2 2
 66540 2 2 2 2
 66551 2 2 2 2
 66552 2 2 2 2
 66600 2 2 2 2
 66601 2 2 2 2
 66603 2 2 2 2
 66619 2 2 2 2
 66654 2 2 2 2
 66658 2 2 2 2
 66668 2 2 2 2
 66669 2 2 2 2
 66670 2 2 2 2
 66671 2 2 2 2
 66672 2 2 2 2
 66679 2 2 2 2
 66681 2 2 2 2
 66703 1 1 1 1
 66704 1 1 1 1
 66718 1 1 1 1
 66719 1 1 1 1
 67095 1 1 1 1
 67124 1 1 1 1
 67125 1 1 1 1
 67126 1 1 1 1
 67127 1 1 1 1
 67128 1 1 1 1
 67130 1 1 1 1
 67131 1 1 1 1
 67133 1 1 1 1
 67134 1 1 1 1
 67151 1 1 1 1
 67154 1 1 1 1
 67157 1 1 1 1
 67440 2 2 2 2
 67476 2 2 2 2
 67488 2 2 2 2
 67520 1 1 1 1
 68058 1 1 1 1
 68061 1 1 1 1
 68062 1 1 1 1
 68063 1 1 1 1
 68064 1 1 1 1
 68078 1 1 1 1
 68079 1 1 1 1
 68135 1 1 1 1
 68136 1 1 1 1
 68137 1 1 1 1
 68138 1 1 1 1
 68148 1 1 1 1
 68149 1 1 1 1
 68157 1 1 1 1
 68158 1 1 1 1
 68159 1 1 1 1
 68160 1 1 1 1
 68162 1 1 1 1
 68242 2 2 2 2
 68244 2 2 2 2
 68247 2 2 2 2
 68248 2 2 2 2
 68274 2 2 2 2
 68278 2 2 2 2
 68279 2 2 2 2
 68283 2 2 2 2
 68284 2 2 2 2
 68371 2 2 2 2
 68374 2 2 2 2
 68383 2 2 2 2
 68387 2 2 2 2
 68389 2 2 2 2
 68475 2 2 2 2
 68476 2 2 2 2
 68477 2 2 2 2
 68483 2 2 2 2
 68547 2 2 2 2
 68561 2 2 2 2
 68582 2 2 2 2
 68584 2 2 2 2
 68586 2 2 2 2
 68601 2 2 2 2
 68606 2 2 2 2
 68609 2 2 2 2
 68610 2 2 2 2
 68612 2 2 2 2
 68766 2 2 2 2
 68773 2 2 2 2
 68775 2 2 2 2
 68782 2 2 2 2
 68783 2 2 2 2
 68786 2 2 2 2
 68812 2 2 2 2
 68813 2 2 2 2
 68899 1 1 1 1
 68926 1 1 1 1
 68928 1 1 1 1
 69255 1 1 1 1
 69279 1 1 1 1
 69282 1 1 1 1
 69283 1 1 1 1
 69289 1 1 1 1
 69297 1 1 1 1
 69299 1 1 1 1
 69300 1 1 1 1
 69303 1 1 1 1
 69304 1 1 1 1
 69309 1 1 1 1
 69310 1 1 1 1
 69320 1 1 1 1
 69321 1 1 1 1
 69322 1 1 1 1
 69323 1 1 1 1
 69373 1 1 1 1
 69374 1 1 1 1
 69393 1 1 1 1
 69481 1 1 1 1
 69484 1 1 1 1
 69486 1 1 1 1
 69496 1 1 1 1
 69497 1 1 1 1
 69499 1 1 1 1
 69501 1 1 1 1
 69502 1 1 1 1
 69503 1 1 1 1
 69605 2 2 2 2
 69607 2 2 2 2
 69610 2 2 2 2
 69697 2 2 2 2
 69699 2 2 2 2
 69748 2 2 2 2
 69750 2 2 2 2
 69752 2 2 2 2
 69791 2 2 2 2
 69792 2 2 2 2
 69797 2 2 2 2
 69832 2 2 2 2
 69834 2 2 2 2
 69835 2 2 2 2
 69852 2 2 2 2
 69854 2 2 2 2
 69888 2 2 2 2
 69889 2 2 2 2
 69894 2 2 2 2
 69895 2 2 2 2
 69896 2 2 2 2
 69897 2 2 2 2
 69905 2 2 2 2
 69906 2 2 2 2
 69931 1 1 1 1
 69932 1 1 1 1
 69933 1 1 1 1
 69945 1 1 1 1
 70251 1 1 1 1
 70273 1 1 1 1
 70274 1 1 1 1
 70275 1 1 1 1
 70279 1 1 1 1
 70280 1 1 1 1
 70281 1 1 1 1
 70289 1 1 1 1
 70290 1 1 1 1
 70292 1 1 1 1
 70293 1 1 1 1
 70537 2 2 2 2
 70577 2 2 2 2
 70581 2 2 2 2
 70602 1 1 1 1
 70603 1 1 1 1
 71211 1 1 1 1
 71212 1 1 1 1
 71215 1 1 1 1
 71216 1 1 1 1
 71224 1 1 1 1
 71225 1 1 1 1
 71258 1 1 1 1
 71259 1 1 1 1
 71261 1 1 1 1
 71262 1 1 1 1
 71271 1 1 1 1
 71273 1 1 1 1
 71274 1 1 1 1
 71275 1 1 1 1
 71348 2 2 2 2
 71349 2 2 2 2
 71350 2 2 2 2
 71352 2 2 2 2
 71378 2 2 2 2
 71382 2 2 2 2
 71384 2 2 2 2
 71386 2 2 2 2
 71387 2 2 2 2
 71463 2 2 2 2
 71466 2 2 2 2
 71468 2 2 2 2
 71469 2 2 2 2
 71470 2 2 2 2
 71568 2 2 2 2
 71585 2 2 2 2
 71638 2 2 2 2
 71645 2 2 2 2
 71664 2 2 2 2
 71666 2 2 2 2
 71667 2 2 2 2
 71670 2 2 2 2
 71676 2 2 2 2
 71680 2 2 2 2
 71681 2 2 2 2
 71682 2 2 2 2
 71822 2 2 2 2
 71823 2 2 2 2
 71825 2 2 2 2
 71829 2 2 2 2
 71831 2 2 2 2
 71835 2 2 2 2
 71838 2 2 2 2
 71840 2 2 2 2
 71861 2 2 2 2
 71951 1 1 1 1
 71973 1 1 1 1
 72406 1 1 1 1
 72427 1 1 1 1
 72435 1 1 1 1
 72437 1 1 1 1
 72444 1 1 1 1
 72452 1 1 1 1
 72453 1 1 1 1
 72455 1 1 1 1
 72457 1 1 1 1
 72460 1 1 1 1
 72462 1 1 1 1
 72463 1 1 1 1
 72464 1 1 1 1
 72472 1 1 1 1
 72473 1 1 1 1
 72474 1 1 1 1
 72477 1 1 1 1
 72482 1 1 1 1
 72542 1 1 1 1
 72543 1 1 1 1
 72559 1 1 1 1
 72617 1 1 1 1
 72618 1 1 1 1
 72619 1 1 1 1
 72625 1 1 1 1
 72626 1 1 1 1
 72627 1 1 1 1
 72628 1 1 1 1
 72629 1 1 1 1
 72734 2 2 2 2
 72736 2 2 2 2
 72739 2 2 2 2
 72743 2 2 2 2
 72842 2 2 2 2
 72843 2 2 2 2
 72902 2 2 2 2
 72903 2 2 2 2
 72905 2 2 2 2
 72933 2 2 2 2
 72934 2 2 2 2
 72940 2 2 2 2
 72969 2 2 2 2
 72970 2 2 2 2
 72986 2 2 2 2
 72987 2 2 2 2
 72988 2 2 2 2
 72989 2 2 2 2
 73012 2 2 2 2
 73018 2 2 2 2
 73019 2 2 2 2
 73020 2 2 2 2
 73024 2 2 2 2
 73028 2 2 2 2
 73029 2 2 2 2
 73061 1 1 1 1
 73063 1 1 1 1
 73071 1 1 1 1
 73363 1 1 1 1
 73364 1 1 1 1
 73375 1 1 1 1
 73376 1 1 1 1
 73379 1 1 1 1
 73380 1 1 1 1
 73418 1 1 1 1
 73614 2 2 2 2
 73634 2 2 2 2
 73638 2 2 2 2
 73641 2 2 2 2
 73660 1 1 1 1
 73663 1 1 1 1
 73664 1 1 1 1
 73980 2 2 2 2
 74370 1 1 1 1
 74372 1 1 1 1
 74373 1 1 1 1
 74375 1 1 1 1
 74378 1 1 1 1
 74379 1 1 1 1
 74399 1 1 1 1
 74400 1 1 1 1
 74401 1 1 1 1
 74402 1 1 1 1
 74403 1 1 1 1
 74408 1 1 1 1
 74409 1 1 1 1
 74410 1 1 1 1
 74481 2 2 2 2
 74485 2 2 2 2
 74487 2 2 2 2
 74509 2 2 2 2
 74513 2 2 2 2
 74514 2 2 2 2
 74515 2 2 2 2
 74589 2 2 2 2
 74590 2 2 2 2
 74592 2 2 2 2
 74595 2 2 2 2
 74596 2 2 2 2
 74705 2 2 2 2
 74717 2 2 2 2
 74720 2 2 2 2
 74721 2 2 2 2
 74765 2 2 2 2
 74770 2 2 2 2
 74783 2 2 2 2
 74784 2 2 2 2
 74787 2 2 2 2
 74791 2 2 2 2
 74793 2 2 2 2
 74794 2 2 2 2
 74930 2 2 2 2
 74931 2 2 2 2
 74932 2 2 2 2
 74936 2 2 2 2
 74938 2 2 2 2
 74941 2 2 2 2
 74942 2 2 2 2
 74945 2 2 2 2
 74985 2 2 2 2
 75069 1 1 1 1
 75070 1 1 1 1
 75096 1 1 1 1
 75675 1 1 1 1
 75676 1 1 1 1
 75721 1 1 1 1
 75725 1 1 1 1
 75726 1 1 1 1
 75737 1 1 1 1
 75740 1 1 1 1
 75744 1 1 1 1
 75745 1 1 1 1
 75746 1 1 1 1
 75748 1 1 1 1
 75749 1 1 1 1
 75755 1 1 1 1
 75762 1 1 1 1
 75764 1 1 1 1
 75765 1 1 1 1
 75768 1 1 1 1
 75769 1 1 1 1
 75774 1 1 1 1
 75775 1 1 1 1
 75779 1 1 1 1
 75780 1 1 1 1
 75781 1 1 1 1
 75782 1 1 1 1
 75785 1 1 1 1
 75786 1 1 1 1
 75787 1 1 1 1
 75789 1 1 1 1
 75790 1 1 1 1
 75791 1 1 1 1
 75792 1 1 1 1
 75793 1 1 1 1
 75794 1 1 1 1
 75795 1 1 1 1
 75892 1 1 1 1
 75893 1 1 1 1
 75894 1 1 1 1
 75895 1 1 1 1
 75896 1 1 1 1
 75897 1 1 1 1
 75914 1 1 1 1
 75951 1 1 1 1
 75952 1 1 1 1
 75955 1 1 1 1
 75956 1 1 1 1
 75957 1 1 1 1
 76058 2 2 2 2
 76060 2 2 2 2
 76062 2 2 2 2
 76064 2 2 2 2
 76152 2 2 2 2
 76153 2 2 2 2
 76216 2 2 2 2
 76218 2 2 2 2
 76219 2 2 2 2
 76220 2 2 2 2
 76248 2 2 2 2
 76278 2 2 2 2
 76280 2 2 2 2
 76293 2 2 2 2
 76294 2 2 2 2
 76295 2 2 2 2
 76296 2 2 2 2
 76310 2 2 2 2
 76314 2 2 2 2
 76315 2 2 2 2
 76317 2 2 2 2
 76318 2 2 2 2
 76319 2 2 2 2
 76366 1 1 1 1
 76372 1 1 1 1
 76376 1 1 1 1
 76410 1 1 1 1
 76411 1 1 1 1
 76415 1 1 1 1
 76631 1 1 1 1
 76633 1 1 1 1
 76637 1 1 1 1
 76638 1 1 1 1
 76639 1 1 1 1
 76658 1 1 1 1
 76882 2 2 2 2
 76883 2 2 2 2
 76893 2 2 2 2
 76901 2 2 2 2
 76902 2 2 2 2
 76916 1 1 1 1
 76917 1 1 1 1
 76937 1 1 1 1
 76938 1 1 1 1
 76939 1 1 1 1
 76941 1 1 1 1
 76942 1 1 1 1
 76943 1 1 1 1
 76944 1 1 1 1
 77282 2 2 2 2
 77286 2 2 2 2
 77287 2 2 2 2
 77717 1 1 1 1
 77718 1 1 1 1
 77719 1 1 1 1
 77720 1 1 1 1
 77721 1 1 1 1
 77735 1 1 1 1
 77736 1 1 1 1
 77737 1 1 1 1
 77739 1 1 1 1
 77740 1 1 1 1
 77805 2 2 2 2
 77809 2 2 2 2
 77810 2 2 2 2
 77831 2 2 2 2
 77833 2 2 2 2
 77834 2 2 2 2
 77912 2 2 2 2
 77914 2 2 2 2
 77915 2 2 2 2
 77916 2 2 2 2
 77917 2 2 2 2
 77918 2 2 2 2
 78047 2 2 2 2
 78049 2 2 2 2
 78050 2 2 2 2
 78077 2 2 2 2
 78090 2 2 2 2
 78100 2 2 2 2
 78101 2 2 2 2
 78103 2 2 2 2
 78105 2 2 2 2
 78106 2 2 2 2
 78246 2 2 2 2
 78247 2 2 2 2
 78249 2 2 2 2
 78253 2 2 2 2
 78256 2 2 2 2
 78259 2 2 2 2
 78260 2 2 2 2
 78261 2 2 2 2
 78292 2 2 2 2
 78298 2 2 2 2
 78304 2 2 2 2
 79271 1 1 1 1
 79272 1 1 1 1
 79273 1 1 1 1
 79275 1 1 1 1
 79276 1 1 1 1
 79278 1 1 1 1
 79279 1 1 1 1
 79293 1 1 1 1
 79294 1 1 1 1
 79295 1 1 1 1
 79296 1 1 1 1
 79297 1 1 1 1
 79298 1 1 1 1
 79299 1 1 1 1
 79301 1 1 1 1
 79302 1 1 1 1
 79303 1 1 1 1
 79304 1 1 1 1
 79305 1 1 1 1
 79306 1 1 1 1
 79307 1 1 1 1
 79308 1 1 1 1
 79309 1 1 1 1
 79310 1 1 1 1
 79311 1 1 1 1
 79314 1 1 1 1
 79315 1 1 1 1
 79316 1 1 1 1
 79317 1 1 1 1
 79319 1 1 1 1
 79321 1 1 1 1
 79322 1 1 1 1
 79323 1 1 1 1
 79325 1 1 1 1
 79340 1 1 1 1
 79341 1 1 1 1
 79342 1 1 1 1
 79343 1 1 1 1
 79344 1 1 1 1
 79345 1 1 1 1
 79346 1 1 1 1
 79358 1 1 1 1
 79359 1 1 1 1
 79360 1 1 1 1
 79362 1 1 1 1
 79363 1 1 1 1
 79364 1 1 1 1
 79370 1 1 1 1
 79372 1 1 1 1
 79373 1 1 1 1
 79503 1 1 1 1
 79505 1 1 1 1
 79506 1 1 1 1
 79507 1 1 1 1
 79510 1 1 1 1
 79519 1 1 1 1
 79520 1 1 1 1
 79522 1 1 1 1
 79527 1 1 1 1
 79541 1 1 1 1
 79549 1 1 1 1
 79550 1 1 1 1
 79551 1 1 1 1
 79602 1 1 1 1
 79603 1 1 1 1
 79604 1 1 1 1
 79647 2 2 2 2
 79648 2 2 2 2
 79651 2 2 2 2
 79743 2 2 2 2
 79744 2 2 2 2
 79748 2 2 2 2
 79810 2 2 2 2
 79813 2 2 2 2
 79814 2 2 2 2
 79869 2 2 2 2
 79870 2 2 2 2
 79882 2 2 2 2
 79883 2 2 2 2
 79884 2 2 2 2
 79885 2 2 2 2
 79892 2 2 2 2
 79894 2 2 2 2
 79896 2 2 2 2
 79897 2 2 2 2
 79903 2 2 2 2
 79955 1 1 1 1
 79983 1 1 1 1
 79985 1 1 1 1
 79986 1 1 1 1
 79987 1 1 1 1
 79988 1 1 1 1
 79990 1 1 1 1
 79991 1 1 1 1
 80236 1 1 1 1
 80237 1 1 1 1
 80240 1 1 1 1
 80252 1 1 1 1
 80253 1 1 1 1
 80450 2 2 2 2
 80458 2 2 2 2
 80463 2 2 2 2
 80464 2 2 2 2
 80481 1 1 1 1
 80731 2 2 2 2
 80858 2 2 2 2
 80860 2 2 2 2
 80861 2 2 2 2
 80863 2 2 2 2
 80865 2 2 2 2
 81315 1 1 1 1
 81316 1 1 1 1
 81322 1 1 1 1
 81324 1 1 1 1
 81325 1 1 1 1
 81326 1 1 1 1
 81327 1 1 1 1
 81328 1 1 1 1
 81384 2 2 2 2
 81385 2 2 2 2
 81389 2 2 2 2
 81390 2 2 2 2
 81411 2 2 2 2
 81412 2 2 2 2
 81413 2 2 2 2
 81465 2 2 2 2
 81466 2 2 2 2
 81499 2 2 2 2
 81500 2 2 2 2
 81502 2 2 2 2
 81503 2 2 2 2
 81504 2 2 2 2
 81651 2 2 2 2
 81653 2 2 2 2
 81654 2 2 2 2
 81676 2 2 2 2
 81684 2 2 2 2
 81692 2 2 2 2
 81693 2 2 2 2
 81695 2 2 2 2
 81696 2 2 2 2
 81819 2 2 2 2
 81854 2 2 2 2
 81855 2 2 2 2
 81858 2 2 2 2
 81860 2 2 2 2
 81862 2 2 2 2
 81863 2 2 2 2
 81890 2 2 2 2
 81893 2 2 2 2
 81898 2 2 2 2
 81906 2 2 2 2
 82947 1 1 1 1
 82972 1 1 1 1
 82973 1 1 1 1
 82997 1 1 1 1
 82998 1 1 1 1
 82999 1 1 1 1
 83000 1 1 1 1
 83001 1 1 1 1
 83002 1 1 1 1
 83003 1 1 1 1
 83004 1 1 1 1
 83005 1 1 1 1
 83006 1 1 1 1
 83008 1 1 1 1
 83009 1 1 1 1
 83012 1 1 1 1
 83013 1 1 1 1
 83015 1 1 1 1
 83016 1 1 1 1
 83018 1 1 1 1
 83019 1 1 1 1
 83020 1 1 1 1
 83021 1 1 1 1
 83022 1 1 1 1
 83023 1 1 1 1
 83024 1 1 1 1
 83025 1 1 1 1
 83026 1 1 1 1
 83027 1 1 1 1
 83028 1 1 1 1
 83029 1 1 1 1
 83030 1 1 1 1
 83031 1 1 1 1
 83042 1 1 1 1
 83043 1 1 1 1
 83051 1 1 1 1
 83054 1 1 1 1
 83069 1 1 1 1
 83070 1 1 1 1
 83078 1 1 1 1
 83079 1 1 1 1
 83080 1 1 1 1
 83083 1 1 1 1
 83084 1 1 1 1
 83129 1 1 1 1
 83217 1 1 1 1
 83227 1 1 1 1
 83231 1 1 1 1
 83232 1 1 1 1
 83236 1 1 1 1
 83240 1 1 1 1
 83241 1 1 1 1
 83251 1 1 1 1
 83252 1 1 1 1
 83255 1 1 1 1
 83296 1 1 1 1
 83297 1 1 1 1
 83299 1 1 1 1
 83302 1 1 1 1
 83303 1 1 1 1
 83305 1 1 1 1
 83306 1 1 1 1
 83348 2 2 2 2
 83349 2 2 2 2
 83352 2 2 2 2
 83355 2 2 2 2
 83437 2 2 2 2
 83438 2 2 2 2
 83445 2 2 2 2
 83511 2 2 2 2
 83515 2 2 2 2
 83559 2 2 2 2
 83568 2 2 2 2
 83569 2 2 2 2
 83571 2 2 2 2
 83573 2 2 2 2
 83576 2 2 2 2
 83578 2 2 2 2
 83579 2 2 2 2
 83583 2 2 2 2
 83588 2 2 2 2
 83589 2 2 2 2
 83590 2 2 2 2
 83677 1 1 1 1
 83679 1 1 1 1
 83680 1 1 1 1
 83682 1 1 1 1
 83683 1 1 1 1
 83684 1 1 1 1
 83937 1 1 1 1
 83949 1 1 1 1
 83950 1 1 1 1
 84133 2 2 2 2
 84137 2 2 2 2
 84138 2 2 2 2
 84158 1 1 1 1
 84159 1 1 1 1
 84160 1 1 1 1
 84161 1 1 1 1
 84162 1 1 1 1
 84163 1 1 1 1
 84439 2 2 2 2
 84488 2 2 2 2
 84551 2 2 2 2
 84553 2 2 2 2
 84554 2 2 2 2
 84555 2 2 2 2
 84556 2 2 2 2
 84957 1 1 1 1
 84976 1 1 1 1
 84977 1 1 1 1
 84981 1 1 1 1
 84982 1 1 1 1
 84988 1 1 1 1
 84989 1 1 1 1
 84990 1 1 1 1
 84991 1 1 1 1
 84992 1 1 1 1
 84993 1 1 1 1
 84994 1 1 1 1
 85042 2 2 2 2
 85044 2 2 2 2
 85045 2 2 2 2
 85060 2 2 2 2
 85063 2 2 2 2
 85064 2 2 2 2
 85131 2 2 2 2
 85132 2 2 2 2
 85133 2 2 2 2
 85155 2 2 2 2
 85156 2 2 2 2
 85157 2 2 2 2
 85158 2 2 2 2
 85315 2 2 2 2
 85316 2 2 2 2
 85317 2 2 2 2
 85318 2 2 2 2
 85337 2 2 2 2
 85341 2 2 2 2
 85348 2 2 2 2
 85349 2 2 2 2
 85350 2 2 2 2
 85352 2 2 2 2
 85498 2 2 2 2
 85524 2 2 2 2
 85526 2 2 2 2
 85529 2 2 2 2
 85530 2 2 2 2
 85551 2 2 2 2
 85553 2 2 2 2
 85557 2 2 2 2
 85564 2 2 2 2
 86621 1 1 1 1
 86644 1 1 1 1
 86645 1 1 1 1
 86663 1 1 1 1
 86668 1 1 1 1
 86669 1 1 1 1
 86670 1 1 1 1
 86674 1 1 1 1
 86676 1 1 1 1
 86677 1 1 1 1
 86680 1 1 1 1
 86689 1 1 1 1
 86690 1 1 1 1
 86692 1 1 1 1
 86694 1 1 1 1
 86695 1 1 1 1
 86698 1 1 1 1
 86737 1 1 1 1
 86740 1 1 1 1
 86747 1 1 1 1
 86762 1 1 1 1
 86767 1 1 1 1
 86768 1 1 1 1
 86769 1 1 1 1
 86772 1 1 1 1
 86775 1 1 1 1
 86805 1 1 1 1
 86868 1 1 1 1
 86885 1 1 1 1
 86886 1 1 1 1
 86887 1 1 1 1
 86901 1 1 1 1
 86903 1 1 1 1
 86940 1 1 1 1
 86942 1 1 1 1
 86947 1 1 1 1
 86948 1 1 1 1
 86949 1 1 1 1
 86950 1 1 1 1
 86951 1 1 1 1
 86952 1 1 1 1
 86953 1 1 1 1
 86954 1 1 1 1
 86994 2 2 2 2
 86996 2 2 2 2
 86997 2 2 2 2
 87000 2 2 2 2
 87001 2 2 2 2
 87077 2 2 2 2
 87085 2 2 2 2
 87119 2 2 2 2
 87160 2 2 2 2
 87163 2 2 2 2
 87198 2 2 2 2
 87205 2 2 2 2
 87209 2 2 2 2
 87210 2 2 2 2
 87212 2 2 2 2
 87214 2 2 2 2
 87217 2 2 2 2
 87218 2 2 2 2
 87316 1 1 1 1
 87319 1 1 1 1
 87323 1 1 1 1
 87574 1 1 1 1
 87575 1 1 1 1
 87576 1 1 1 1
 87578 1 1 1 1
 87756 2 2 2 2
 87759 2 2 2 2
 87793 1 1 1 1
 87795 1 1 1 1
 87796 1 1 1 1
 87797 1 1 1 1
 87798 1 1 1 1
 87801 1 1 1 1
 88083 2 2 2 2
 88084 2 2 2 2
 88127 2 2 2 2
 88130 2 2 2 2
 88199 2 2 2 2
 88200 2 2 2 2
 88201 2 2 2 2
 88204 2 2 2 2
 88207 2 2 2 2
 88574 1 1 1 1
 88575 1 1 1 1
 88576 1 1 1 1
 88577 1 1 1 1
 88578 1 1 1 1
 88595 1 1 1 1
 88596 1 1 1 1
 88599 1 1 1 1
 88601 1 1 1 1
 88605 1 1 1 1
 88611 1 1 1 1
 88612 1 1 1 1
 88613 1 1 1 1
 88614 1 1 1 1
 88615 1 1 1 1
 88616 1 1 1 1
 88660 2 2 2 2
 88662 2 2 2 2
 88663 2 2 2 2
 88676 2 2 2 2
 88679 2 2 2 2
 88680 2 2 2 2
 88722 2 2 2 2
 88736 2 2 2 2
 88737 2 2 2 2
 88738 2 2 2 2
 88740 2 2 2 2
 88751 2 2 2 2
 88752 2 2 2 2
 88753 2 2 2 2
 88878 2 2 2 2
 88947 2 2 2 2
 88948 2 2 2 2
 88964 2 2 2 2
 88968 2 2 2 2
 88972 2 2 2 2
 88973 2 2 2 2
 88976 2 2 2 2
 88984 2 2 2 2
 89162 2 2 2 2
 89188 2 2 2 2
 89190 2 2 2 2
 89192 2 2 2 2
 89208 2 2 2 2
 89209 2 2 2 2
 89211 2 2 2 2
