 2119
 112 203 212 207 1
 203 113 112 212 1
 116 213 185 188 1
 183 213 113 211 1
 115 113 185 213 1
 183 113 213 185 1
 115 113 213 212 1
 116 115 185 213 1
 211 213 113 212 1
 114 157 154 217 1
 114 217 154 166 1
 114 176 217 166 1
 154 153 166 218 1
 154 166 217 218 1
 154 219 153 218 1
 220 135 115 212 1
 116 115 220 133 1
 220 132 188 116 1
 116 220 115 213 1
 116 133 220 132 1
 220 115 135 133 1
 115 213 220 212 1
 116 220 213 188 1
 221 122 118 186 1
 122 186 221 188 1
 118 221 117 121 1
 117 118 119 221 1
 117 221 119 120 1
 221 121 118 122 1
 221 186 118 187 1
 119 118 187 221 1
 221 174 119 120 1
 119 174 221 187 1
 121 161 221 120 1
 117 121 221 120 1
 174 222 162 120 1
 164 161 162 222 1
 221 222 174 120 1
 162 222 161 120 1
 221 161 222 120 1
 221 121 122 223 1
 188 122 223 221 1
 221 161 121 223 1
 188 223 122 132 1
 121 132 122 223 1
 121 161 123 223 1
 123 132 121 223 1
 221 222 161 223 1
 224 123 132 136 1
 224 139 123 136 1
 224 161 123 160 1
 224 123 161 223 1
 224 132 123 223 1
 224 161 222 223 1
 225 123 124 160 1
 125 152 124 225 1
 152 125 153 225 1
 152 123 124 225 1
 125 225 124 160 1
 152 139 123 225 1
 225 123 224 139 1
 224 123 225 160 1
 153 225 125 166 1
 125 225 160 166 1
 153 225 166 218 1
 205 226 126 128 1
 126 127 128 226 1
 126 205 209 226 1
 209 130 126 226 1
 127 226 126 131 1
 130 126 226 131 1
 226 131 127 137 1
 227 145 137 127 1
 226 227 127 128 1
 127 227 145 144 1
 227 137 226 127 1
 147 144 227 128 1
 227 144 127 128 1
 205 209 226 228 1
 205 215 209 228 1
 205 228 226 128 1
 226 228 227 128 1
 129 206 205 229 1
 205 229 228 128 1
 129 229 205 128 1
 227 228 229 128 1
 129 147 229 128 1
 147 227 229 128 1
 147 230 229 227 1
 230 229 227 228 1
 207 231 131 130 1
 209 228 231 226 1
 209 130 226 231 1
 208 207 130 231 1
 130 131 226 231 1
 209 208 130 231 1
 207 232 135 131 1
 135 232 207 212 1
 232 226 137 131 1
 207 131 231 232 1
 135 131 232 137 1
 226 131 232 231 1
 188 223 233 221 1
 220 188 132 233 1
 224 233 132 223 1
 188 233 223 132 1
 234 232 137 135 1
 135 234 232 212 1
 220 234 135 212 1
 233 220 235 132 1
 224 136 132 235 1
 220 132 133 235 1
 132 136 133 235 1
 233 224 132 235 1
 140 139 236 134 1
 236 225 224 139 1
 224 236 139 136 1
 224 236 136 235 1
 236 134 139 136 1
 237 134 236 136 1
 237 140 134 138 1
 237 135 220 234 1
 237 140 236 134 1
 133 134 137 237 1
 234 237 235 220 1
 237 135 234 137 1
 237 134 137 138 1
 135 237 133 137 1
 135 237 220 133 1
 237 136 236 235 1
 133 134 237 136 1
 133 136 237 235 1
 220 133 237 235 1
 234 137 232 238 1
 237 234 238 137 1
 227 137 145 238 1
 232 137 226 238 1
 227 226 137 238 1
 238 239 145 227 1
 152 225 153 240 1
 153 225 218 240 1
 237 137 241 138 1
 241 143 140 138 1
 241 137 145 138 1
 241 236 237 140 1
 241 238 145 137 1
 237 238 241 137 1
 142 140 241 143 1
 241 145 148 143 1
 241 145 143 138 1
 241 140 237 138 1
 241 242 236 140 1
 236 140 242 139 1
 242 140 141 139 1
 152 155 141 242 1
 142 141 242 140 1
 142 242 241 140 1
 141 152 242 139 1
 152 225 242 139 1
 236 242 225 139 1
 152 242 225 240 1
 142 155 242 141 1
 158 156 155 243 1
 159 156 158 243 1
 155 156 142 243 1
 142 242 155 243 1
 149 244 148 143 1
 156 149 142 244 1
 149 142 244 143 1
 142 241 244 143 1
 148 244 241 143 1
 156 244 142 243 1
 242 244 142 241 1
 242 142 244 243 1
 238 145 245 241 1
 238 245 145 239 1
 241 244 148 245 1
 145 241 148 245 1
 246 230 147 227 1
 146 151 246 148 1
 147 246 227 144 1
 145 227 246 144 1
 145 148 246 245 1
 145 239 246 227 1
 246 148 145 144 1
 230 246 239 227 1
 147 146 246 144 1
 145 246 239 245 1
 146 148 246 144 1
 151 247 246 148 1
 150 149 156 247 1
 159 150 156 247 1
 247 148 149 244 1
 150 149 247 148 1
 156 247 149 244 1
 150 247 151 148 1
 246 247 245 148 1
 247 148 244 245 1
 155 152 153 248 1
 153 240 218 248 1
 152 242 240 248 1
 155 242 152 248 1
 219 153 218 248 1
 152 240 153 248 1
 153 249 155 248 1
 219 249 153 248 1
 250 157 251 219 1
 157 219 154 251 1
 157 154 217 251 1
 154 251 219 218 1
 154 217 251 218 1
 250 251 157 252 1
 249 253 155 248 1
 155 249 158 253 1
 155 253 242 248 1
 155 253 158 243 1
 155 242 253 243 1
 159 247 156 254 1
 156 244 254 247 1
 159 254 156 243 1
 156 254 244 243 1
 159 255 254 243 1
 159 158 255 243 1
 255 253 243 158 1
 158 249 256 253 1
 157 257 250 252 1
 258 253 255 158 1
 258 256 253 158 1
 258 159 158 255 1
 224 222 161 259 1
 161 160 224 259 1
 224 160 225 259 1
 164 160 161 259 1
 161 222 164 259 1
 160 166 225 259 1
 164 166 160 259 1
 177 162 174 260 1
 177 163 162 260 1
